file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t000.tif,cell_0,387.186,154.371,108.457,48.4603,47.6712,39.3455,-0.17896,0.014167,1.60104,0
t000.tif,cell_1,189.551,250.803,110.083,50.1783,46.8724,41.7182,0.224634,0.140892,1.07764,0
t000.tif,cell_2,380.142,365.185,104.217,46.152,42.5365,37.0079,0.282557,-0.124465,0.857061,0
t000.tif,cell_3,560.5,267.887,119.549,43.4416,40.3869,36.8752,-0.136648,0.144354,-0.820376,0
t000.tif,trash_1,161.865,342.595,35.6895,14.0323,12.188,10.1337,1.2313,1.16244,0.38522,1
t000.tif,trash_2,337.682,117.086,136.591,25.2686,17.1369,14.0381,-0.368864,0.74435,0.61245,1
t001.tif,cell_0,394.753,164.229,104.992,48.4933,47.869,41.5271,-0.287352,-0.064765,1.60853,0
t001.tif,cell_1,190.955,226.607,111.161,52.664,49.7133,42.9562,0.102684,0.180968,1.59202,0
t001.tif,cell_2,363.858,383.059,110.655,47.4257,44.8981,39.1532,0.314391,-0.0281352,0.403292,0
t001.tif,cell_3,555.207,253.241,119.5,43.746,40.7416,37.4406,-0.4906,0.110629,-0.878078,0
t001.tif,trash_1,161.865,342.595,35.6895,13.2127,12.5363,10.2093,1.56215,0.0272492,0.581005,1
t001.tif,trash_2,342.261,129.908,134.704,28.2027,18.5569,15.6682,1.71597,0.529565,0.732461,1
t002.tif,cell_0,396.686,176.075,113.731,45.934,42.5141,25.7427,-0.0819927,0.142061,2.0888,0
t002.tif,cell_1,199.869,233.514,109.764,49.866,43.0406,27.6852,0.0217791,0.0929092,0.442518,0
t002.tif,cell_2,346.823,386.899,112.967,50.36,47.4613,42.4981,0.00621212,-0.0520958,0.162682,0
t002.tif,cell_3,550.226,251.133,117.577,46.7978,43.0125,39.5671,-0.264639,0.145406,-1.09297,0
t002.tif,trash_1,161.865,342.595,35.6895,13.1671,12.9262,10.5536,1.49573,0.96464,0.737227,1
t002.tif,trash_2,343.71,140.122,142.773,16.8918,13.2923,9.38435,-1.47567,1.46992,-2.48449,1
t003.tif,cell_0,388.146,197.939,102.321,35.9797,32.5756,24.3123,-0.0036246,0.00241664,1.94185,0
t003.tif,cell_1,207.996,233.31,102.192,40.0341,39.0051,24.7442,0.144468,0.175872,0.0379822,0
t003.tif,cell_2,362.373,385.803,112.705,50.4498,47.4533,39.1543,0.0681074,0.0350987,-0.342835,0
t003.tif,cell_3,553.612,246.272,113.577,48.0727,43.458,39.1175,-0.150853,0.0967821,-0.924342,0
t003.tif,trash_1,161.865,342.595,35.6895,14.051,12.335,10.3264,-1.83077,0.922526,-2.80839,1
t003.tif,trash_2,350.238,155.394,140.908,19.458,13.8373,10.81,1.17754,0.788129,0.747601,1
t004.tif,cell_2,382.788,388.307,118.299,52.75,49.9137,42.4035,-0.231969,0.101264,-0.824966,0
t004.tif,cell_3,536.246,237.497,98.2386,48.4703,44.7135,37.0927,-0.053312,0.117221,-0.591683,0
t004.tif,trash_1,160.664,340.265,38.2455,16.1512,12.9591,10.9472,-1.8353,1.16092,-2.40327,1
t004.tif,trash_2,350.776,160.467,143.309,17.0294,12.313,10.7291,-1.85869,1.48644,-2.66003,1
t004.tif,cell_10,197.44,247.563,86.1299,24.8106,21.4741,17.2622,0.384442,-0.255716,1.28108,0
t004.tif,cell_11,213.278,230.265,128.614,24.6403,21.7746,18.9096,1.13508,0.864155,0.629068,0
t004.tif,cell_00,378.166,196.698,83.1966,23.2603,21.9624,17.3688,0.159195,-0.257697,2.94227,0
t004.tif,cell_01,393.828,186.698,124.181,21.5024,19.9317,18.1599,-0.875611,0.618448,1.1336,0
t005.tif,cell_2,378.473,365.138,132.812,53.5515,41.0822,39.8743,1.28434,0.00578989,-1.52195,0
t005.tif,cell_3,535.858,284.019,103.15,48.619,46.3176,41.0942,0.230033,-0.159834,-0.450129,0
t005.tif,trash_1,160.605,342.896,36.0921,15.8198,12.638,11.7985,2.15823,1.18539,1.02724,1
t005.tif,trash_2,350.058,148.823,132.944,16.0729,14.4425,11.1071,-2.37885,0.379137,-2.94101,1
t005.tif,cell_10,181.2,260.395,90.2948,31.1699,27.8244,18.4088,0.882327,-0.108624,0.925037,0
t005.tif,cell_11,209.923,197.612,129.475,31.5539,28.8884,18.2477,1.03599,-0.279247,0.702983,0
t005.tif,cell_00,386.938,209.949,72.1511,30.5243,26.2639,17.9511,-0.42789,0.180646,-1.97076,0
t005.tif,cell_01,415.24,172.853,123.317,29.6686,24.6873,22.0537,-2.32492,-0.181076,1.19111,0
t006.tif,cell_2,377.828,336.629,138.919,38.9643,34.4079,16.6259,1.58852,0.404164,-1.26404,0
t006.tif,cell_3,533.806,300.845,117.836,48.6897,43.2443,39.8519,0.158215,0.150279,-0.708917,0
t006.tif,trash_1,159.763,341.545,38.5502,14.1888,13.2876,11.2602,1.83284,1.21439,1.0469,1
t006.tif,trash_2,351.392,147.842,118.054,10.8323,10.4949,6.01795,2.87128,-0.152561,2.02839,1
t006.tif,cell_10,178.967,272.543,101.641,33.2192,31.2567,25.9623,0.0323302,-0.166804,0.995111,0
t006.tif,cell_11,223.62,191.546,119.727,31.9432,30.8693,26.7096,2.24242,-0.562744,0.676558,0
t006.tif,cell_00,387.841,228.543,70.2051,31.901,28.0055,24.1318,-0.0794632,-0.020233,-1.94536,0
t006.tif,cell_01,427.506,166.871,110.459,30.6329,27.7988,26.3172,2.58339,-1.10016,1.47296,0
t007.tif,cell_3,532.114,302.262,115.16,48.264,45.0036,39.195,0.190439,-0.165485,-0.628399,0
t007.tif,trash_1,160.906,341.026,36.11,18.203,12.7878,10.2671,-2.23066,1.35716,-2.95579,1
t007.tif,cell_10,164.952,277.885,109.021,37.4238,34.3232,31.0718,0.274086,-0.289304,1.58147,0
t007.tif,cell_11,228.063,171.403,121.863,36.7838,34.8513,30.9716,2.8113,-0.455481,0.949672,0
t007.tif,cell_00,382.797,248.509,62.481,35.3991,34.0678,24.5117,0.0924306,-0.166521,-1.05375,0
t007.tif,cell_01,437.306,158.235,104.487,36.8025,32.4156,29.2665,-2.0956,0.396891,2.01262,0
t007.tif,cell_20,397.477,339.549,145.724,26.946,22.962,11.2884,-0.190321,1.24665,-2.99723,0
t007.tif,cell_21,353.948,329.033,149.007,26.5322,21.836,10.9456,1.1765,1.11046,-1.8563,0
t008.tif,cell_3,539.246,285.571,109.628,47.9345,42.8249,38.9482,-0.114943,-0.111563,-0.800093,0
t008.tif,trash_1,160.657,342.95,36.0279,13.193,12.2963,9.49894,1.93042,1.50854,1.29642,1
t008.tif,cell_10,156.774,303.397,100.527,39.3657,35.3257,29.6668,-0.0866301,0.00986673,1.23601,0
t008.tif,cell_11,227.738,151.033,128.144,40.0872,37.8208,32.9704,-3.11784,-0.439185,-0.0261209,0
t008.tif,cell_00,383.285,252.584,59.6499,36.3875,35.9325,26.7302,0.0137424,0.0418204,-2.47413,0
t008.tif,cell_01,428.954,145.033,127.515,39.4098,35.0636,31.9141,-1.68368,0.172458,2.06228,0
t008.tif,cell_20,426.522,346.64,139.543,26.4282,21.649,12.3107,0.89887,1.23992,-1.88956,0
t008.tif,cell_21,354.314,334.957,147.366,24.4002,21.6114,11.8311,1.45388,1.23956,-1.49398,0
t009.tif,cell_3,527.632,275.876,115.874,49.3922,33.5886,22.3228,-1.22949,-0.0906113,0.0641609,0
t009.tif,trash_1,159.683,341.294,35.1153,19.1116,13.221,10.6176,2.31345,1.23769,1.4731,1
t009.tif,cell_10,159.159,309.115,86.983,41.0869,38.6548,31.7768,-0.12177,0.00811634,1.58816,0
t009.tif,cell_11,241.933,140.876,124.419,41.9385,39.2382,35.8294,-3.11508,-0.345588,-0.182156,0
t009.tif,cell_00,376.012,273.217,63.5363,40.2626,38.171,29.4629,0.0408821,0.0631265,-1.97492,0
t009.tif,cell_01,424.711,149.426,147.75,39.3101,37.6086,34.1848,-2.11806,-0.200086,2.36975,0
t009.tif,cell_20,434.01,352.626,133.329,27.9905,26.5549,22.5203,0.657292,0.880168,-2.17956,0
t009.tif,cell_21,346.342,344.008,149.397,29.8466,22.9388,19.5311,1.59476,1.09842,-1.51645,0
t010.tif,cell_3,533.437,286.739,107.154,35.8429,32.6284,15.5537,-1.07665,-0.683659,-0.535098,0
